PaperID,Individual_ID_reported,Virus_reported,Virus_strain_isolate,Host_reported,Host_order,Sex,Inoculation_route,Dose_raw,Dose_amount,Dose_unit,Duration_of_observation,Susceptible_YN,ClinicalDisease,severity_reported,Severity_note,Histopathology,Organ_tissue_damaged,Mortality_YN,Mortality_reason,Mortality_note,Behaviour,Physical_symptoms,Notes
2,427,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,M,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,428,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,877,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,884,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,912,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,919,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,409,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,Y,NA,,none,none,NA,,,none,lethargy; sluggish; general weakness,
2,424,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,426,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,M,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,433,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,Y,NA,,none,none,NA,,,none,lethargy; sluggish; general weakness,
2,883,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,Y,NA,,none,none,NA,,,none,lethargy; sluggish; general weakness,
2,887,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,890,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,922,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (neck),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
2,420,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,M,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
2,430,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,M,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
2,431,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
2,900,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
2,915,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
2,920,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,M,Oral,5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,N,N,NA,,none,none,N,,,none,none,"No animals inoculated orally developed either the disease or a detectable serological response, indicating that this route was not invasive. "
3,13,Lagos bat virus,Senegal,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,N,brain,Y,,,none,muscle tremors or spasms; hyperaesthesia,
3,5,Lagos bat virus,Senegal,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,N,brain,Y,,,none,hindleg paralysis; muscle tremors or spasms; hyperaesthesia,
3,6,Lagos bat virus,Senegal,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,mild to moderate (meningoencephalitis); mild (multifocal fibrinopurulent pneumonia); mild (multifocal lymphoplasmacytic interstitial nephritis),,severe,brain; lungs; kidney,Y,,,none,muscle temors or spasms; foam around the mouth; hyperaesthesia; multifocal fibrinopurulent pneumonia,
3,7,Lagos bat virus,Nigeria,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,N,brain,Y,,,none,hind leg paralysis; wing paresis; muscle tremors or spasms; lethargy (not agoNAl),
3,8,Lagos bat virus,Nigeria,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,mild to moderate (meningoencephalitis); mild (multifocal lymphoplasmacytic interstitial nephritis),,severe,brain; kidney,Y,,,none,hind leg paralysis; wing paresis; muscle tremors or spasms; lethargy (not agoNAl); foam around the mouth; focal necropurulent hepatitis,
3,9,Lagos bat virus,Nigeria,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,N,brain,Y,,,none,hind leg paralysis; wing paresis; muscle tremors or spasms; lethargy (not agoNAl); foam around the mouth,
3,10,Lagos bat virus,Ghana,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,N,brain,Y,,,vocalization; aggression,hind leg paralysis,
3,11,Lagos bat virus,Ghana,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,NA,,severe,brain; salivary gland,Y,,,vocalization; aggression,hind leg paralysis,
3,12,Lagos bat virus,Ghana,Eidolon helvum,Chiroptera,NA,Intracerebral,10^3.5 median tissue culture infectious dose per mL in 30 μL,10^3.5,Median_TCID50,9 days,Y,Y,mild (Lymphocytic infiltration),,N,brain,Y,,,vocalization; aggression,hind leg paralysis,
4,40088,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42250,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42336,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,19854,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42919,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,56159,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42672,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,38666,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,36412,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,40896,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,43165,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,38702,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42853,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,41032,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,90906,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,36089,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,43133,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,20712,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,41880,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42030,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,40002,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,43662,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,41671,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,42509,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,41468,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,41412,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
4,85963,Marburg virus,,Rousettus aegyptiacus,Chiroptera,M,Subcutaneous (mid-ventral abdomen),10^4 tissue culture infective dose 50 (TCID50),10^4,TCID50,28 days,Y,N,NA,,mild,kidney; salivary gland; bladder; large intestine,N,,,none,none,"States the organs showed signs of infection, which I presumed to be damage and recorded. the signs of infection were not explicitly reported."
5,64-475,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,6.5 log units (0.2 mL of a 10^-3 dilution),10^6.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-476,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,6.5 log units (0.2 mL of a 10^-3 dilution),10^6.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-482,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,6.5 log units (0.2 mL of a 10^-3 dilution),10^6.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-485,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,6.5 log units (0.2 mL of a 10^-3 dilution),10^6.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-483,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Contact,NA,NA,NA,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-479,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,3.5 log units (0.2 mL of a 10^-6 dilution),10^3.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-480,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,3.5 log units (0.2 mL of a 10^-6 dilution),10^3.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-481,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,3.5 log units (0.2 mL of a 10^-6 dilution),10^3.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-486,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Subcutaneous,3.5 log units (0.2 mL of a 10^-6 dilution),10^3.5,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-484,Chikungunya virus,,Pteropus giganteus,Chiroptera,NA,Contact,NA,NA,NA,169 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-475,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-476,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-480,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-481,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-482,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-483,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
5,64-485,Dengue virus,Type 2,Pteropus giganteus,Chiroptera,NA,Subcutaneous,4.0 log units (0.3 mL of a 10^-1.7 dilution),10^4,Unknown,168 days,Y,N,NA,,NA,NA,N,,,none,none,
6,8,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (neck),4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,Y,,,aggression,weakness; ataxia; paralysis,"States bats were of both sexes, but the sex is not given to the individual level."
6,23,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (neck),4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,NA,,,none,weakness; ataxia; paralysis,"States bats were of both sexes, but the sex is not given to the individual level."
6,25,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,NA,,,none,weakness; ataxia; paralysis,"States bats were of both sexes, but the sex is not given to the individual level."
6,37,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,40,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,24,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Contact,4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,6,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Contact,4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,14,Khujand virus,,Eptesicus fuscus,Chiroptera,NA,Contact,4.3 log10 50% mouse intracerebral lethal doses (MICLD50),10^4.3,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,7,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,NA,,,none,weakness; lethargy,"States bats were of both sexes, but the sex is not given to the individual level."
6,38,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,NA,,,none,weakness; lethargy,"States bats were of both sexes, but the sex is not given to the individual level."
6,39,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (neck),3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,Y,moderate,,NA,NA,NA,,,aggression,agitation; tremors; general weakness; lethargy,"States bats were of both sexes, but the sex is not given to the individual level."
6,43,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Intramuscular (deltoid),3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,12,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Contact,3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,21,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Contact,3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
6,35,Aravan virus,,Eptesicus fuscus,Chiroptera,NA,Contact,3.9 log10 50% mouse intracerebral lethal doses (MICLD50),10^3.9,MICLD50,5 weeks,Y,N,NA,,NA,NA,N,,,none,none,"States bats were of both sexes, but the sex is not given to the individual level."
