Host	HostOrder	Pathogen	pmid	title	abs	review_flag
apodemus agrarius	Rodentia	hantaan orthohantavirus	12163608	Hantaan virus infection causes an acute neurological disease that is fatal in adult laboratory mice.	"Hantaan virus, the etiological agent of Korean hemorrhagic fever, is transmitted to humans from persistently infected mice (Apodemus agrarius), which serve as the primary reservoir. Here we demonstrate that several strains of adult Mus musculus domesticus (C57BL/6, BALB/c, AKR/J, and SJL/J) were susceptible to Hantaan virus infection when infected intraperitoneally. First clinical signs were loss of weight, ruffled fur, and reduced activity, which were followed by neurological symptoms, such as paralyses and convulsions. Within 2 days of disease onset, the animals died of acute encephalitis. PCR analysis indicated a systemic infection with viral RNA present in all major organs. Immunohistochemical and in situ hybridization analyses of postmortem material detected viral antigen and RNA in the central nervous system (predominantly brain), liver, and spleen. In the central nervous system, viral antigen and RNA colocalized with perivascular infiltrations, the predominant pathological finding. To investigate the involvement of the interferon system in Hantaan virus pathogenesis, we infected alpha/beta interferon receptor knockout mice. These animals were more susceptible to Hantaan virus infection, indicating an important role of interferon-induced antiviral defense mechanisms in Hantaan virus pathogenesis. The present model may help to overcome shortcomings in the development of therapeutic and prophylactic measurements against hantavirus infections."	0
apodemus agrarius	Rodentia	murine mastadenovirus c	19297486	A novel cardiotropic murine adenovirus representing a distinct species of mastadenoviruses.	"During cell culture isolation experiments to recover Dobrava hantavirus from a suspension of liver from a striped field mouse (Apodemus agrarius), an unknown virus was coisolated. Atypically for hantaviruses, it had extensive cytopathic effects. Using a random PCR approach, it was identified as a novel murine adenovirus, MAdV-3 (for MAdV type 3). A plaque-purified virus clone was prepared and further characterized. The complete genome sequence of MAdV-3 was determined to be 30,570 bp in length. Sequence comparisons to other adenovirus species revealed highest similarity to MAdV-1, the representative of the murine adenovirus A species. However, substantial differences were found in the E1, E3, and E4 genomic regions. The phylogenetic distance of MAdV-3 amino acid sequences for pVIII, protease, polymerase, and hexon from MAdV-1 is markedly higher than 0.1 exchange per position, and, based on our cross-neutralization experiments, MAdV-3 and MAdV-1 can be regarded as different serotypes. Therefore, we propose to classify MAdV-3 as the first isolate of a novel adenovirus species, designated murine adenovirus C (MAdV-C). The novel MAdV-3 virus is not only genetically and serologically distinct from MAdV-1 but also shows a unique organ tropism in infected mice. In contrast to MAdV-1, the virus was not detectable in brain but predominantly infected heart tissue. Thus, infection of mice with cardiotropic MAdV-3 might be an interesting animal model of adenovirus-induced myocarditis."	0
apodemus agrarius	Rodentia	tick-borne encephalitis virus	18240970	Isolation of tick-borne encephalitis viruses from wild rodents, South Korea.	"To determine whether the tick-borne encephalitis virus (TBEV) is present in vector ticks and mammalian hosts in Korea, we examined two tick species, Haemaphysalis longicornis (n = 548) and Ixodes nipponensis (n = 87), and the lungs or spleens of rodents Apodemus agrarius (n = 24) and wild boars (n = 16). Tick-borne encephalitis virus was detected in samples by reverse transcriptase (RT)-nested polymerase chain reaction (PCR), after which TBEV-positive samples were inoculated into BHK-21 cells and suckling mice. Tick-borne encephalitis virus genes were detected in 4 of 38 tick pools and 5 of 24 wild rodents. Suckling mice inoculated intracerebrally with TBEV-positive rodent samples showed signs of encephalitis at six days post-inoculation. The isolation of TBEV was confirmed by inoculating samples obtained from the brains of sick mice in cell culture. Phylogenetic analysis showed that the E genes of the TBEV isolates were clustered with the Western subtype (98% identity). This study suggests the possible occurrence of tick-borne encephalitis in Korea."	0
apodemus sylvaticus	Rodentia	equine torovirus	6506447	Antibodies to Berne virus in horses and other animals.	"After inoculation into 2 foals, Berne virus induced neutralizing antibody, but did not cause clinical symptoms. In a horizontal study of seropositive mares and their offspring, a decline of maternal antibodies and a sudden synchronous seroconversion in all foals were observed, again without clinical symptoms. The virus is widespread in the Swiss horse population and has been so during the last decade; rises in antibody titers were noted in 9% of paired sera sampled at random. Positive reactions were also obtained in serum neutralization tests and ELISA using small numbers of horse sera from Germany, France and the U.S.A. The results of neutralization tests and ELISA were correlated in 83% of random samples tested; 13% were neutralization-positive and ELISA-negative and in 4% the inverse was observed. Neutralizing activity was found in the sera of other ungulates (cattle, goat, sheep and pig), laboratory rabbits and 2 species of wild mice (Clethrionomys glareolus and Apodemus sylvaticus). Inconclusive results were obtained with feline and human sera; those from dogs and foxes (Vulpes vulpes) were consistently negative. The probable occurrence of antigenic variants in Berne-type viruses is discussed."	0
apodemus sylvaticus	Rodentia	murid herpesvirus 7	19940063	Characterization of a novel wood mouse virus related to murid herpesvirus 4.	"Two novel gammaherpesviruses were isolated, one from a field vole (Microtus agrestis) and the other from wood mice (Apodemus sylvaticus). The genome of the latter, designated wood mouse herpesvirus (WMHV), was completely sequenced. WMHV had the same genome structure and predicted gene content as murid herpesvirus 4 (MuHV4; murine gammaherpesvirus 68). Overall nucleotide sequence identity between WMHV and MuHV4 was 85 % and most of the 10 kb region at the left end of the unique region was particularly highly conserved, especially the viral tRNA-like sequences and the coding regions of genes M1 and M4. The partial sequence (71 913 bp) of another gammaherpesvirus, Brest herpesvirus (BRHV), which was isolated ostensibly from a white-toothed shrew (Crocidura russula), was also determined. The BRHV sequence was 99.2 % identical to the corresponding portion of the WMHV genome. Thus, WMHV and BRHV appeared to be strains of a new virus species. Biological characterization of WMHV indicated that it grew with similar kinetics to MuHV4 in cell culture. The pathogenesis of WMHV in wood mice was also extremely similar to that of MuHV4, except for the absence of inducible bronchus-associated lymphoid tissue at day 14 post-infection and a higher load of latently infected cells at 21 days post-infection."	0
apodemus sylvaticus	Rodentia	puumala orthohantavirus	12376967	Rodent host specificity of European hantaviruses: evidence of Puumala virus interspecific spillover.	"In order to investigate rodent host specificity of European hantaviruses, experimental infection of colonized and wild-trapped rodents was performed. In addition to the natural rodent reservoir, Clethrionomys glareolus, Puumala hantavirus (PUUV) could infect colonized Microtus agrestis and Lemmus sibiricus, but not Syrian hamsters or Balb/C mice. Neither C. glareolus, nor M. agrestis, could be readily infected by Tula hantavirus (TULV). Wild-trapped Apodemus flavicollis and A. agrarius, the natural reservoirs of Dobrava (DOBV) and Saaremaa (SAAV) hantaviruses, respectively, could both be infected by SAAV. NMRI mice could also be infected by SAAV, but with lower efficiency as compared to Apodemus mice. Balb/C and NMRI laboratory mice, but not C. glareolus, could be infected by DOBV. To our knowledge, this is the first time DOBV and SAAV have been shown to infect adult laboratory mice. Moreover, potential hantavirus spillover infections were investigated in wild-trapped rodents. In addition to the natural host C. glareolus, we also found M. arvalis and A. sylvaticus with a history of PUUV infection. We did not find any C. glareolus or A. sylvaticus infected with TULV, a hantavirus which is known to circulate in the same geographical regions of Belgium."	0
apodemus sylvaticus	Rodentia	west nile virus	23212739	West Nile virus associations in wild mammals: a synthesis.	"Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized."	1
artibeus cinereus	Chiroptera	rabies lyssavirus	864845	Price JL, and Everard COR (1977). Rabies Virus And Antibody In Bats In Grenada And Trinidad. Journal of wildlife diseases 13:131-134.	"Rabies virus was detected by fluorescent-antibody and mouse inoculation tests in the brain of one bat, Artibeus jamaicensis, collected at La Tante, Grenada on 19 June 1974. No rabies virus was found in the brains and/or salivary glands of 411 other Grenadian bats of 6 species tested, including 56 A. jamaicensis. Rabies neutralizing antibody was detected by the rapid fluorescent focus inhibition test (RFFIT) in 27 of 353 Grenadian bats. Positives occurred in each of the 6 species sampled, with 40.5% prevalence in A. jamaicensis. In 11 of 86 Trinidadian bats of 4 species known to carry rabies, positive sera occurred only in A. jamaicensis (18.6%) and A. lituratus (18.1%). The potential use of the REFIT indetermining rabies activity is discussed."	0
artibeus fimbriatus	Chiroptera	rabies lyssavirus	16113922	Cunha EMS, Lara MDCCSH, Nassar AFDC, Sodre MM, and Amaral LFV (2005). [Isolation of rabies virus in Artibeus fimbriatus bat in the State of Sao Paulo, Brazil]. Revista De Saude Publica 39:683-684.	"This is the first report of the isolation and identification of the rabies virus in the frugivorous bat Artibeus fimbriatus in the city of Sao José do Rio Preto, Sao Paulo State, Brazil. The virus was isolated from an animal found in an urban area. The animal was found on the ground under a tree, still alive. Diagnosis was made by direct immunofluorescence and intracerebral inoculation of mice."	0
artibeus jamaicensis	Chiroptera	rabies lyssavirus	864845	Rabies virus and antibody in bats in Grenada and Trinidad.	"Rabies virus was detected by fluorescent-antibody and mouse inoculation tests in the brain of one bat, Artibeus jamaicensis, collected at La Tante, Grenada on 19 June 1974. No rabies virus was found in the brains and/or salivary glands of 411 other Grenadian bats of 6 species tested, including 56 A. jamaicensis. Rabies neutralizing antibody was detected by the rapid fluorescent focus inhibition test (RFFIT) in 27 of 353 Grenadian bats. Positives occurred in each of the 6 species sampled, with 40.5% prevalence in A. jamaicensis. In 11 of 86 Trinidadian bats of 4 species known to carry rabies, positive sera occurred only in A. jamaicensis (18.6%) and A. lituratus (18.1%). The potential use of the REFIT indetermining rabies activity is discussed."	0
artibeus jamaicensis	Chiroptera	rabies lyssavirus	864845	Price JL, and Everard COR (1977). Rabies Virus And Antibody In Bats In Grenada And Trinidad. Journal of wildlife diseases 13:131-134.	"Rabies virus was detected by fluorescent-antibody and mouse inoculation tests in the brain of one bat, Artibeus jamaicensis, collected at La Tante, Grenada on 19 June 1974. No rabies virus was found in the brains and/or salivary glands of 411 other Grenadian bats of 6 species tested, including 56 A. jamaicensis. Rabies neutralizing antibody was detected by the rapid fluorescent focus inhibition test (RFFIT) in 27 of 353 Grenadian bats. Positives occurred in each of the 6 species sampled, with 40.5% prevalence in A. jamaicensis. In 11 of 86 Trinidadian bats of 4 species known to carry rabies, positive sera occurred only in A. jamaicensis (18.6%) and A. lituratus (18.1%). The potential use of the REFIT indetermining rabies activity is discussed."	0
arvicanthis niloticus	Rodentia	rift valley fever phlebovirus	10817634	The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal.	"Wild rodents (214) of fourteen species were trapped at seven sites in Senegal. Arvicanthis niloticus and Mastomys erythroleucus were among the most frequently collected species (77.2% of total capture). All rodents were examined for the presence of anti-Rift Valley fever virus (RVFV) antibody; the prevalence over all sampled species was 3.8%, varying widely with respect to species and location. Four of 14 species of rodents were found to have anti-RVFV antibodies: Rattus rattus (one positive of two tested) Mastomys huberti (13.5%), A. niloticus (4.3%), and M. erthroleucus (2.4%). The highest prevalence of anti-RVFV antibody was recorded within the enzootic area of the Senegal River delta, at Richard Toll (9.6%). A. niloticus and M. erythroleucus and a strain of laboratory-bred mice were experimentally inoculated with two strains of RVFV and examined for viremia, illness, seroconversion and mortality. A. niloticus and M. erythroleucus demonstrated a limited resistance to infection, thus potentially allowing for the replication of virus in these animals and making these species possible candidates as hosts in the maintenance cycle of RVFV in nature."	0
arvicanthis niloticus	Rodentia	rift valley fever phlebovirus	NA	Gora D, Yaya T, Jocelyn T, Didier F, Maoulouth D, Amadou S, et al. (2000). The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal. Microbes and Infection 2:343-346.	"Wild rodents (214) of fourteen species were trapped at seven sites in Senegal. Arvicanthis niloticus and Mastomys erythroleucus were among the most frequently collected species (77.2% of total capture). All rodents were examined for the presence of anti-Rift Valley fever virus (RVFV) antibody; the prevalence over all sampled species was 3.8%, varying widely with respect to species and location. Four of 14 species of rodents were found to have anti-RVFV antibodies: Rattus rattus (one positive of two tested) Mastomys huberti (13.5%), A. niloticus (4.3%), and M. erythroleucus (2.4%). The highest prevalence of anti-RVFV antibody was recorded within the enzootic area of the Senegal River delta, at Richard Toll (9.6%). A. niloticus and M. erythroleucus and a strain of laboratory-bred mice were experimentally inoculated with two strains of RVFV and examined for viremia, illness, seroconversion and mortality. A. niloticus and M. erythroleucus demonstrated a limited resistance to infection, thus potentially allowing for the replication of virus in these animals and making these species possible candidates as hosts in the maintenance cycle of RVFV in nature. (C) 2000 Editions scientifiques et medicales Elsevier SAS."	0
arvicanthis niloticus	Rodentia	west nile virus	23212739	West Nile virus associations in wild mammals: a synthesis.	"Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized."	1
arvicola amphibius	Rodentia	tula orthohantavirus	22225425	Tula virus infections in the Eurasian water vole in Central Europe.	"Recent reports of novel hantaviruses in shrews and moles and the detection of rodent-borne hantaviruses in different rodent species raise important questions about their host range and specificity, evolution, and host adaptation. Tula virus (TULV), a European hantavirus, is believed to be slightly or non-pathogenic in humans and was initially detected in the common vole Microtus arvalis, the East European vole M. levis (formerly rossiaemeridionalis), and subsequently in other Microtus species. Here we report the first multiple RT-PCR detection and sequence analyses of TULV in the Eurasian water vole Arvicola amphibius from different regions in Germany and Switzerland. Additional novel TULV S-, M-, and L-segment sequences were obtained from M. arvalis and M. agrestis trapped in Germany at sites close to trapping sites of TULV-RT-PCR-positive water voles. Serological investigations using a recombinant TULV nucleocapsid protein revealed the presence of TULV-reactive antibodies in RT-PCR-positive and a few RT-PCR-negative water voles. Phylogenetic analyses revealed a geographical clustering of the novel S-, M-, and L-segment sequences from A. amphibius with those of M. arvalis- and M. agrestis-derived TULV lineages, and may suggest multiple TULV spillover or a potential host switch to A. amphibius. Future longitudinal studies of sympatric Microtus and Arvicola populations and experimental infection studies have to prove the potential of A. amphibius as an additional TULV reservoir host."	0
arvicola amphibius	Rodentia	tula orthohantavirus	22225425	Schlegel M, Kindler E, Essbauer SS, Wolf R, Thiel J, Groschup MH, et al. (2012). Tula Virus Infections in the Eurasian Water Vole in Central Europe. Vector-Borne and Zoonotic Diseases 12:503-513.	"Recent reports of novel hantaviruses in shrews and moles and the detection of rodent-borne hantaviruses in different rodent species raise important questions about their host range and specificity, evolution, and host adaptation. Tula virus (TULV), a European hantavirus, is believed to be slightly or non-pathogenic in humans and was initially detected in the common vole Microtus arvalis, the East European vole M. levis (formerly rossiaemeridionalis), and subsequently in other Microtus species. Here we report the first multiple RT-PCR detection and sequence analyses of TULV in the Eurasian water vole Arvicola amphibius from different regions in Germany and Switzerland. Additional novel TULV S-, M-, and L-segment sequences were obtained from M. arvalis and M. agrestis trapped in Germany at sites close to trapping sites of TULV-RT-PCR-positive water voles. Serological investigations using a recombinant TULV nucleocapsid protein revealed the presence of TULV-reactive antibodies in RT-PCR-positive and a few RT-PCR-negative water voles. Phylogenetic analyses revealed a geographical clustering of the novel S-, M-, and L-segment sequences from A. amphibius with those of M. arvalis- and M. agrestis-derived TULV lineages, and may suggest multiple TULV spillover or a potential host switch to A. amphibius. Future longitudinal studies of sympatric Microtus and Arvicola populations and experimental infection studies have to prove the potential of A. amphibius as an additional TULV reservoir host."	0
atherurus africanus	Rodentia	monkeypox virus	23626656	A review of experimental and natural infections of animals with monkeypox virus between 1958 and 2012.	"Monkeypox virus (MPXV) was discovered in 1958 during an outbreak in an animal facility in Copenhagen, Denmark. Since its discovery, MPXV has revealed a propensity to infect and induce disease in a large number of animals within the mammalia class from pan-geographical locations. This finding has impeded the elucidation of the natural host, although the strongest candidates are African squirrels and/or other rodents. Experimentally, MPXV can infect animals via a variety of multiple different inoculation routes; however, the natural route of transmission is unknown and is likely to be somewhat species specific. In this review we have attempted to compile and discuss all published articles that describe experimental or natural infections with MPXV, dating from the initial discovery of the virus through to the year 2012. We further discuss the comparative disease courses and pathologies of the host species."	1
bandicota bengalensis	Rodentia	orthohepevirus a	11380801	Prevalence of anti-hepatitis E virus antibodies in different Indian animal species.	"Prevalence of IgG antibodies to hepatitis E virus (IgG-anti-HEV) was determined among different animal species from India. Seropositivity varied from 4.4% to 6.9% in cattle, 54.6-74.4% in pigs and 2.1-21.5% in rodents. Of the 44 dogs screened, 10 were positive (22.7%). None of the 250 goat sera tested were found to be anti-HEV positive. Among rodents, over 50% serum samples collected in 1985 from Bandicota bengalensis were positive for anti-HEV antibodies. No evidence of HEV infection was obtained following experimental inoculation of an Indian strain (AKL-90) of HEV into anti-HEV negative pigs and goats. The results document varied prevalence of anti-HEV antibodies in different animal species from India and of inability of Indian pigs and goats to support replication of at least one human strain of HEV."	0
