PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	de Almeida, Marilene Fernandes; Trezza-Netto, Jose; Aires, Caroline Cotrin; de Barros, Rodrigo Fernandes; da Rosa, Adriana Ruckert; Massad, Eduardo								Hematologic profile of hematophagous Desmodus rotundus bats before and after experimental infection with rabies virus								REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL				47	3			371	373		10.1590/0037-8682-0169-2013				MAY-JUN 2014	2014	Introduction: Hematophagous Desmodus rotundus bats play an important role in the rabies lifecycle. This study describes the hematological profile of these bats before and after experimental infection with rabies virus. Methods: Cells counts were performed in a Neubauer chamber. Results: The average values of erythrocytes and leucocytes counts in blood before experimental infections were 9.97 x 10(6)mm(3) and 4.80 x 10(3)mm(3), respectively. Neutrophils represented 69.9% of white blood cells and the lymphocytes represented 26.9%. Following the experimental infections, the average numbers of erythrocytes and leucocytes was 9.43 x 10(6)mm(3) and 3.98 x 10(3)mm(3), respectively. Neutrophils represented 40% of white blood cells and the lymphocytes represented 59%. Conclusions: The hematological profile given in this study can serve as reference values for D. rotundus bats.																					WOS:000340294800017	25075489	
J	Jones, Megan E. B.; Schuh, Amy J.; Amman, Brian R.; Sealy, Tara K.; Zaki, Sherif R.; Nichol, Stuart T.; Towner, Jonathan S.								Experimental Inoculation of Egyptian Rousette Bats (Rousettus aegyptiacus) with Viruses of the Ebolavirus and Marburgvirus Genera								VIRUSES-BASEL				7	7			3420	3442		10.3390/v7072779				JUL 2015	2015	The Egyptian rousette bat (Rousettus aegyptiacus) is a natural reservoir for marburgviruses and a consistent source of virus spillover to humans. Cumulative evidence suggests various bat species may also transmit ebolaviruses. We investigated the susceptibility of Egyptian rousettes to each of the five known ebolaviruses (Sudan, Ebola, Bundibugyo, Tai Forest, and Reston), and compared findings with Marburg virus. In a pilot study, groups of four juvenile bats were inoculated with one of the ebolaviruses or Marburg virus. In ebolavirus groups, viral RNA tissue distribution was limited, and no bat became viremic. Sudan viral RNA was slightly more widespread, spurring a second, 15-day Sudan virus serial euthanasia study. Low levels of Sudan viral RNA disseminated to multiple tissues at early time points, but there was no viremia or shedding. In contrast, Marburg virus RNA was widely disseminated, with viremia, oral and rectal shedding, and antigen in spleen and liver. This is the first experimental infection study comparing tissue tropism, viral shedding, and clinical and pathologic effects of six different filoviruses in the Egyptian rousette, a known marburgvirus reservoir. Our results suggest Egyptian rousettes are unlikely sources for ebolaviruses in nature, and support a possible single filovirussingle reservoir host relationship.																					WOS:000360353200005	26120867	
J	Yaiw, Koon Chu; Ong, Kien Chai; Chua, Kaw Bing; Bingham, John; Wang, Linfa; Shamala, Devi; Wong, Kum Thong								Tioman virus infection in experimentally infected mouse brain and its association with apoptosis								JOURNAL OF VIROLOGICAL METHODS				143	2			140	146		10.1016/j.jviromet.2007.03.002				AUG 2007	2007	Tioman virus is a newly described bat-urine derived paramyxovirus isolated in Tioman Island, Malaysia in 2001. Hitherto, neither human nor animal infection by this virus has been reported. Nonetheless, its close relationship to another paramyxovirus, the Menangle virus which had caused diseases in humans and pigs [Philbey, A.W., Kirkland, P.D., Ross, A.D., Davis, R.J., Gleeson, A.B., Love, R.J., Daniels, P.W., Gould, A.R., Hyatt, A.D., 1998. An apparently new virus (family Paramyxoviridae) infectious for pigs, humans, and fruit bats. Emerg. Infect. Dis. 4, 269-271], raises the possibility that it may be potentially pathogenic. In this study, mice were experimentally infected with Tioman virus by intraperitoneal and intracerebral routes, and the cellular targets and topographical distribution of viral genome and antigens were examined using in situ hybridization and immunohistochemistry, respectively. The possible association between viral infection and apoptosis was also investigated using the TUNEL assay and immunohistochemistry to FasL, Caspase-3, Caspase-8, Caspase-9 and bcl-2. The results showed that Tioman virus inoculated intracerebrally was neurotropic causing plaque-like necrotic areas, and appeared to preferentially replicate in the neocortex and limbic system. Viral i infection of inflammatory cells was also demonstrated. TUNEL and Caspase-3 positivity was found in inflammatory cells but not in neurons, while FasL, Caspase-8 and Caspase-9 were consistently negative. This suggests that neuronal infection was associated with necrosis rather than apoptosis. Moreover, the data suggest that there may be an association between viral infection and apoptosis in inflammatory cells, and that it could, at least in part, involve Caspase-independent pathways. Bcl-2 was expressed in some neurons and inflammatory cells indicating its possible role in anti-apoptosis. There was no evidence of central nervous system infection via the intraperitoneal route. (C) 2007 Elsevier B.V. All rights reserved.																					WOS:000248110000003	17442409	
J	BURNS, KF; SHELTON, DF; GROGAN, EW								BAT RABIES - EXPERIMENTAL HOST TRANSMISSION STUDIES								ANNALS OF THE NEW YORK ACADEMY OF SCIENCES				70	3			452	466		10.1111/j.1749-6632.1958.tb35403.x				1958	1958																						WOS:A1958WQ43400018	13559909	
J	Van der Poel, WHM; Van der Heide, R; Van Amerongen, G; Van Keulen, LJM; Wellenberg, GJ; Bourhy, H; Schaftenaar, W; Groen, J; Osterhaus, ADME								Characterisation of a recently isolated lyssavirus in frugivorous zoo bats								ARCHIVES OF VIROLOGY				145	9			1919	1931		10.1007/s007050070066				2000	2000	In July 1997 a lyssavirus was isolated in Denmark from a colony of Egyptian flying foxes (Rousettus aegyptiacus) originating from a Dutch zoo. Sequencing of a 400 nucleotides coding region of the nucleoprotein and of a major part of the G-protein ectodomain encoding region of the newly isolated virus, revealed a very high similarity with European Bat Lyssavinus subtype la (EBL-1a). For characterisation of the recently isolated lyssavirus in frugivorous zoo bats, 16 frugivorous bats (Rousettus aegyptiacus) of the same colony and 80 mice were experimentally infected with the Rousettus isolate or with a well defined EBL-1a strain isolated from a Dutch insectivorous bat (Eptesicus serotinus). Inoculation viruses were titrated in mice to determine LD50's Of both isolates. Clinical signs of inoculated bats were recorded during 6 weeks. After showing neurological signs or at the end of the experimental infection all animals were euthanized. During the experimental infection sera and various tissues of inoculated bats were collected. Immunoassays, mouse inoculation tests (MIT) and polymerase chain reaction (PCR) were employed for detection of lyssavirus specific antibodies, antigen or RNA. Five bats inoculated with the Rousettus isolate and 2 bats inoculated with the Eptesicus isolate showed neurological signs. The remaining 9 bats survived and cleared the virus; at least under the detection limit of the used assays. Despite a much higher pathogenicity of the Rousettus isolate observed in mice, LD25's in bats were quite the same for the 2 isolates. The pathogenicity of both isolates suggested that like many other mammals, Rousettus aegyptiacus bats could be victims of lyssavirus infection besides reservoir hosts of infectious EBL1a. There was no significant difference in detecting the different lyssavirus isolates in Rousettus aegyptiacus bats. An employed immunoperoxidase staining (LP) method was very useful for sensitive detection and localization of lyssavirus antigen in histologic preparates.																					WOS:000089582400013	11043951	
J	Obregon-Morales, Cirani; Aguilar-Setien, Alvaro; Perea Martinez, Leonardo; Galvez-Romero, Guillermo; Olivia Martinez-Martinez, Flor; Arechiga-Ceballos, Nidia								Experimental infection of Artibeus intermedius with a vampire bat rabies virus								COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES				52				43	47		10.1016/j.cimid.2017.05.008				JUN 2017	2017	Experimental infection of Artibeus intermedius, the great fruit-eating bat, was performed with vampire bat rabies isolates. Bats (n = 35) were captured in the wild and quarantined prior to experimental infection. No rabies antibodies were detected by rapid fluorescent focus inhibition test (RFFIT) prior to infection. Three doses of rabies virus (RV) and three different routes of infection were used. One out of 35 bats died without showing any clinical signs at day 14 and was positive for rabies. None of the 34 other bats showed clinical signs for rabies, but high antibody titers were detected post-inoculation, suggesting either innate immune response to the vampire bat rabies virus or possible pre-exposure to RV and inoculation leading to a booster effect. Rabies virus was detected by hemi-nested RT-PCR (hnRT-PCR) in the brain (n= 3), stomach (n= 1) of bats that were negative by immunofluorescence and that survived rabies infection. The bat that died on day 14 was positive by hnRTPCR on the brain, heart and liver. These results suggest that either previous non-lethal exposure to RV or natural low susceptibility to vampire bat viruses somehow protected Artibeus intermedius from clinical rabies infection leading to a marginal lethality effect on this bats species population in the wild.																					WOS:000405275200008	28673461	
J	GAVRILOVSKAYA, IN; CHUMAKOV, MP; APEKINA, NS; RYLTSEVA, EV; MARTIYANOVA, LI; GORBACHKOVA, EA; BERNSHTEIN, AD; ZAKHAROVA, MA; BOIKO, VA								ADAPTATION TO LABORATORY AND WILD ANIMALS OF THE HEMORRHAGIC-FEVER WITH RENAL SYNDROME VIRUS PRESENT IN THE FOCI OF EUROPEAN USSR								ARCHIVES OF VIROLOGY				77	1			87	90		10.1007/BF01314868				1983	1983																						WOS:A1983RL86000010	6138015	
R	De Almeida, Marilene Fernandes; Trezza-Netto, Jose; Aires, Caroline Cotrin; De Barros, Rodrigo Fernandes; Da Rosa, Adriana Ruckert; Massad, Eduardo								Hematologic profile of hematophagous Desmodus rotundus bats before and after experimental infection with rabies virus								Figshare											http://dx.doi.org/10.6084/m9.figshare.14316733.v1				2021-04-05	2014	Introduction Hematophagous Desmodus rotundus bats play an important role in the rabies lifecycle. This study describes the hematological profile of these bats before and after experimental infection with rabies virus. Methods Cells counts were performed in a Neubauer chamber. Results The average values of erythrocytes and leucocytes counts in blood before experimental infections were 9.97 * 106mm3 and 4.80 * 103mm3, respectively. Neutrophils represented 69.9% of white blood cells and the lymphocytes represented 26.9%. Following the experimental infections, the average numbers of erythrocytes and leucocytes was 9.43 * 106mm3 and 3.98 * 103mm3, respectively. Neutrophils represented 40% of white blood cells and the lymphocytes represented 59%. Conclusions The hematological profile given in this study can serve as reference values for D. rotundus bats. Copyright: CC BY 4.0																					DRCI:DATA2021080021471827		
J	Yang, Yifei; Shi, Ruihan; She, Ruiping; Soomro, Majid Hussain; Mao, Jingjing; Du, Fang; Zhao, Yue; Liu, Can								Effect of swine hepatitis E virus on the livers of experimentally infected Mongolian gerbils by swine hepatitis E virus								VIRUS RESEARCH				208				171	179		10.1016/j.virusres.2015.06.007				OCT 2 2015	2015	Previous studies have shown that hepatitis E virus (HEV) can be transmitted between rats, pigs, cattle, rabbits, chicken, cats, and deer. Because wild and domestic rodents have anti-HEV antibodies, they are considered potential reservoirs of HEV. In the current study, Mongolian gerbils were experimentally infected with swine hepatitis E virus and the effects of this infection were investigated. After inoculation with HEV, the liver-to-body weight ratio increased at 7 dpi. Mongolian gerbils demonstrated significant increase (p < 0.05) in Aspartate Transaminase (AST), alanine transaminase (ALT) and total bilirubin (T-BIL) concentrations in the sera, and HEV IgG was detected at 21 days post-inoculation (dpi). Real-time PCR revealed that the copies of HEV RNA in the liver were detected at 7 dpi, and peaked at 28 dpi at a concentration of 7.73 logs g(-1). Using both light and electron microscopy, hepatic lesions were observed in the HEV inoculated animals. In the experimental group, characteristic viral hepatitis lesions were prominent in the liver. HEV antigen was detected in the liver by immunohistochemistry, and HEV ORF3 antigen was detectable in liver by Western blot. These results clearly demonstrate that viral load of HEV in livers was dynamic, and ultrastructural hepatic injury in HEV infected Mongolian gerbils and anti-HEV IgG positive seroconversion were observed during infection. (C) 2015 Elsevier B.V. All rights reserved.																					WOS:000360951800021	26093307	
J	Fan Yi; Liu HongLiang; Li Ping; Huang JianBo; Yang Fan; Jiang ZiYi; Zhao Jun; Xu SiYao; Deng YiChao; Yin Yue; Mao XiYu; Lv WenTing; Yang ZeXiao; Xu ZhiWen; Zhu Ling								Immunohistochemical detection of viral distribution in rats experimentally infected with pseudorabies virus.								Zhongguo Yufang Shouyi Xuebao / Chinese Journal of Preventive Veterinary Medicine				39	5			342	345						2017	2017	Pseudorabies virus (PRV) has the ability to infect neuronal cells and synaptic transmission, which could be applied as a kind of new tracer for neuronal cell studies. To determinate the PRV distribution in artificially infected mouse, we established a PRV-infected rat model to analyze the viral distribution in infected animals. The distribution of PRV in various tissues of infected rats was detected by immunehistochemistry (IHC) assay and was compared with the conventional PCR. The results showed that the brain, lung, spleen and kidney of infected rats could be detected by IHC assay at 72, 78, 84, 96, 104, 108 hrs post infection. And the detected rates were 50% by PCR and 36% by IHC, respectively, and the coincidence rate of the two assays was 72%. This study provided a basis for further study on the characteristics of PRV and antiviral mechanism of the host.																					CABI:20173224676		
J	Xiao, SY; Sbrana, E; Watts, DM; Siirin, M; da Rosa, APAT; Tesh, RB								Experimental infection of prairie dogs with monkeypox virus								EMERGING INFECTIOUS DISEASES				11	4			539	545		10.3201/eid1104.040907				APR 2005	2005	Studies of experimental infection of prairie dogs (Cynomys ludovicianus) with monkeypox virus are described. After intraperitoneal infection, all of the animals died within 11 days. Virus was cultured from their blood and oropharynx several days before death; at necropsy, most of the organs tested contained monkeypox virus. Marked hepatic and splenic necrosis were observed,. along with mild inflammatory changes in the lungs. After intranasal (IN) infection, the primary pathologic changes were in the lungs and pleural cavity. Some of the IN infected animals (40%) survived, and monkeypox virus could be cultured from their nasal discharge and oropharynx for <= 22 days. Ulcerative lesions also developed on the lips, tongue, and buccal mucosa of the surviving animals. Our findings support an earlier report, which suggested that infected prairie dogs can transmit monkeypox virus by respiratory and mucocutaneous contact with susceptible animals and persons.																					WOS:000227940700004	15829191	
J	Dhondt, Kevin P.; Horvat, Branka								Henipavirus Infections: Lessons from Animal Models								PATHOGENS				2	2			264	287		10.3390/pathogens2020264				JUN 2013	2013	The Henipavirus genus contains two highly lethal viruses, the Hendra and Nipah viruses and one, recently discovered, apparently nonpathogenic member; Cedar virus. These three, negative-sense single-stranded RNA viruses, are hosted by fruit bats and use EphrinB2 receptors for entry into cells. The Hendra and Nipah viruses are zoonotic pathogens that emerged in the middle of 90s and have caused severe, and often fatal, neurologic and/or respiratory diseases in both humans and different animals; including spillover into equine and porcine species. Development of relevant models is critical for a better understanding of viral pathogenesis, generating new diagnostic tools, and assessing anti-viral therapeutics and vaccines. This review summarizes available data on several animal models where natural and/or experimental infection has been demonstrated; including pteroid bats, horses, pigs, cats, hamsters, guinea pigs, ferrets, and nonhuman primates. It recapitulates the principal features of viral pathogenesis in these animals and current knowledge on anti-viral immune responses. Lastly it describes the recently characterized murine animal model, which provides the possibility to use numerous and powerful tools available for mice to further decipher henipaviruses immunopathogenesis, prophylaxis, and treatment. The utility of different models to analyze important aspects of henipaviruses-induced disease in humans, potential routes of transmission, and therapeutic approaches are equally discussed.																					WOS:000216528700004	25437037	
J	Maganga, Gael D.; Bourgarel, Mathieu; Nkoghe, Judicael Obame; N'Dilimabaka, Nadine; Drosten, Christian; Paupy, Christophe; Morand, Serge; Drexler, Jan Felix; Leroy, Eric M.								Identification of an Unclassified Paramyxovirus in Coleura afra: A Potential Case of Host Specificity								PLOS ONE				9	12					e115588	10.1371/journal.pone.0115588				DEC 31 2014	2014	Bats are known to harbor multiple paramyxoviruses. Despite the creation of two new genera, Aquaparamyxovirus and Ferlavirus, to accommodate this increasing diversity, several recently isolated or characterized viruses remain unclassified beyond the subfamily level. In the present study, among 985 bats belonging to 6 species sampled in the Belinga caves of Gabon, RNA of an unclassified paramyxovirus (Belinga bat virus, BelPV) was discovered in 14 African sheathtailed bats (Coleura afra), one of which exhibited several hemorrhagic lesions at necropsy, and viral sequence was obtained in two animals. Phylogenetically, BelPV is related to J virus and Beilong virus (BeiPV), two other unclassified paramyxoviruses isolated from rodents. In the diseased BelPV-infected C. afra individual, high viral load was detected in the heart, and the lesions were consistent with those reported in wild rodents and mice experimentally infected by J virus. BelPV was not detected in other tested bat species sharing the same roosting sites and living in very close proximity with C. afra in the two caves sampled, suggesting that this virus may be host-specific for C. afra. The mode of transmission of this paramyxovirus in bat populations remains to be discovered.																					WOS:000347119100045	25551455	
