PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Maquart, Marianne; Temmam, Sarah; Heraud, Jean-Michel; Leparc-Goffart, Isabelle; Cetre-Sossah, Catherine; Dellagi, Koussay; Cardinale, Eric; Pascalis, Herve								Development of real-time RT-PCR for the detection of low concentrations of Rift Valley fever virus								JOURNAL OF VIROLOGICAL METHODS				195				92	99		10.1016/j.jviromet.2013.10.001				JAN 2014	2014	In recent years, Madagascar and the Comoros archipelago have been affected by epidemics of Rift Valley fever (RVF), however detection of Rift Valley fever virus (RVFV) in zebu, sheep and goats during the post epidemic periods was frequently unsuccessful. Thus, a highly sensitive real-time RT-PCR assay was developed for the detection of RVFV at low viral loads. A new RVF SYBR Green RT-PCR targeting the M segment was tested on serum from different RVF seronegative ruminant species collected from May 2010 to August 2011 in Madagascar and the Comoros archipelago and compared with a RVF specific quantitative real time RT-PCR technique, which is considered as the reference technique. The specificity was tested on a wide range of arboviruses or other viruses giving RVF similar clinical signs. A total of 38 out of 2756 serum samples tested positive with the new RT-PCR, whereas the reference technique only detected 5 out of the 2756. The described RT-PCR is an efficient diagnostic tool for the investigation of enzootic circulation of the RVF virus. It allows the detection of low viral RNA loads adapted for the investigations of reservoirs or specific epidemiological situations such as inter-epizootic periods. (C) 2013 Elsevier B.V. All rights reserved.																					WOS:000328804800012	24120571	
B	McGarvey, Michael J.; Houghton, Michael						Thomas, HC; Lok, ASF; Locarnini, SA; Zuckerman, AJ		Structure and molecular virology								VIRAL HEPATITIS, 4TH EDITION								221	245						2014	2014	There have been major advances recently in several areas of hepatitis C virus (HCV). The array of host receptors important for HCV entry now includes HSGP, LDLR, CD81, SRB1, CLDN1, occludin, and NPC1L1. The interaction of host and nonstructural viral proteins is essential for genome replication. Long-range interactions between cis acting elements in the 5' and 3' UTRs and the NS5B coding region may control the switching between genome replication and genome packaging into virions, as well as modulate translation. Capsid assembly also involves NS5A, NS2, NS3/4A, and viral RNA as well as core protein. HCV assembly is intimately connected to host lipid metabolism and the synthesis of very-low-density lipoproteins (VLDLs) resulting in a lipoviroparticle. Core, NS5A, NS2, NS3, and NS4B can regulate host metabolic processes. HCV proteins have been shown to compromise host defenses at many levels, such as NS3 and NS5A inhibition of interferon alpha and NS5A and NS5B inhibition of apoptosis.																					WOS:000337034100017		
B	Paweska, Janusz T.; van Vuren, Petrus Jansen						Johnson, N		Rift Valley Fever Virus A Virus with Potential for Global Emergence								ROLE OF ANIMALS IN EMERGING VIRAL DISEASES								169	200		10.1016/B978-0-12-405191-1.00008-9				2014	2014																						WOS:000325329500009		
S	Schweizer, Matthias; Peterhans, Ernst						Lewin, HA; Roberts, RM		Pestiviruses								ANNUAL REVIEW OF ANIMAL BIOSCIENCES, VOL 2		Annual Review of Animal Biosciences		2				141	+		10.1146/annurev-animal-022513-114209				2014	2014	Pestiviruses cause economically important diseases among domestic ruminants and pigs, but they may also infect a wide spectrum of wild species of even-toed ungulates (Artiodactyla). Bovine viral diarrhea virus (BVDV) and Border disease virus of sheep infect their hosts either transiently or persistently. Cellular and humoral immunotolerance to the infecting strain is a unique feature of persistent infection (PI) by ruminant pestiviruses. Persistence, caused by transplacental infection early in fetal development, depends on virally encoded interferon antagonists that inactivate the host's innate immune response to the virus without globally interfering with its function against other viruses. At epidemiological equilibrium, approximately 1-2% of animals are PI. Successful BVDV control programs show that removal of PI animals results in viral extinction in the host population. The nucleotide sequences of ruminant pestiviruses change little during persistent infection. Nevertheless, they display large heterogeneity, pointing to a long history of virus-host coevolution in which avirulent strains are more successful.																					WOS:000336052100008	25384138	
S	Sejvar, James						Tselis, AC; Booss, J		Vaccines and viral/toxin-associated neurologic infections								NEUROVIROLOGY		Handbook of Clinical Neurology		123				719	744						2014	2014																						WOS:000341048300038	25015514	
J	Suin, Vanessa; Naze, Florence; Francart, Aurelie; Lamoral, Sophie; De Craeye, Stephane; Kalai, Michael; Van Gucht, Steven								A Two-Step Lyssavirus Real-Time Polymerase Chain Reaction Using Degenerate Primers with Superior Sensitivity to the Fluorescent Antigen Test								BIOMED RESEARCH INTERNATIONAL				2014						256175	10.1155/2014/256175				2014	2014	A generic two-step lyssavirus real-time reverse transcriptase polymerase chain reaction (qRT-PCR), based on a nested PCR strategy, was validated for the detection of different lyssavirus species. Primers with 17 to 30% of degenerate bases were used in both consecutive steps. The assay could accurately detect RABV, LBV, MOKV, DUVV, EBLV-1, EBLV-2, and ABLV. In silico sequence alignment showed a functional match with the remaining lyssavirus species. The diagnostic specificity was 100% and the sensitivity proved to be superior to that of the fluorescent antigen test. The limit of detection was <= 1 50% tissue culture infectious dose. The related vesicular stomatitis virus was not recognized, confirming the selectivity for lyssaviruses. The assay was applied to follow the evolution of rabies virus infection in the brain of mice from 0 to 10 days after intranasal inoculation. The obtained RNA curve corresponded well with the curves obtained by a one-step monospecific RABV-qRT-PCR, the fluorescent antigen test, and virus titration. Despite the presence of degenerate bases, the assay proved to be highly sensitive, specific, and reproducible.																					WOS:000335160800001	24822188	
B	Wakeley, Philip R.; North, Sarah; Johnson, Nicholas						Johnson, N		Synthesis								ROLE OF ANIMALS IN EMERGING VIRAL DISEASES								317	331		10.1016/B978-0-12-405191-1.00012-0				2014	2014																						WOS:000325329500013		
J	Khan, Salah Uddin; Atanasova, Kalina R.; Krueger, Whitney S.; Ramirez, Alejandro; Gray, Gregory C.								Epidemiology, geographical distribution, and economic consequences of swine zoonoses: a narrative review								EMERGING MICROBES & INFECTIONS				2						e92	10.1038/emi.2013.87				DEC 24 2013	2013	We sought to review the epidemiology, international geographical distribution, and economic consequences of selected swine zoonoses. We performed literature searches in two stages. First, we identified the zoonotic pathogens associated with swine. Second, we identified specific swine-associated zoonotic pathogen reports for those pathogens from January 1980 to October 2012. Swine-associated emerging diseases were more prevalent in the countries of North America, South America, and Europe. Multiple factors were associated with the increase of swine zoonoses in humans including: the density of pigs, poor water sources and environmental conditions for swine husbandry, the transmissibility of the pathogen, occupational exposure to pigs, poor human sanitation, and personal hygiene. Swine zoonoses often lead to severe economic consequences related to the threat of novel pathogens to humans, drop in public demand for pork, forced culling of swine herds, and international trade sanctions. Due to the complexity of swine-associated pathogen ecology, designing effective interventions for early detection of disease, their prevention, and mitigation requires an interdisciplinary collaborative "One Health" approach from veterinarians, environmental and public health professionals, and the swine industry.																					WOS:000339194100001	26038451	
J	Zhao, Hanjun; Zhou, Jie; Jiang, Shibo; Zheng, Bo-Jian								Receptor binding and transmission studies of H5N1 influenza virus in mammals								EMERGING MICROBES & INFECTIONS				2						e85	10.1038/emi.2013.89				DEC 18 2013	2013	The H5N1 influenza A virus that is currently circulating in Asia, Africa and Europe has resulted in persistent outbreaks in poultry with sporadic transmission to humans. Thus far, it is believed that H5N1 does not possess sufficient ability for human-to-human transmission and subsequent pandemic infection. Both receptor binding specificity and virus infectivity are key factors in determining whether influenza A virus becomes pandemic. The use of human viral isolates in various studies has helped to illustrate the changes in receptor binding specificity and virulence as a result of adaptation in humans. In this review, we highlight the important amino acids and domains of viral proteins related to receptor binding specificity that have been reported for humans and avians using mammalian models. Thus, this review will consolidate findings from studies that have shed light on the receptor binding and transmission characteristics of the H5N1 influenza virus, with the goal of improving our ability to predict the transmission efficiency or pandemic potential of new viral strains.																					WOS:000339193900001	26038448	
J	Caillouet, Kevin A.; Robertson, Charles W.; Wheeler, David C.; Komar, Nicholas; Bulluck, Lesley P.								Vector Contact Rates on Eastern Bluebird Nestlings Do Not Indicate West Nile Virus Transmission in Henrico County, Virginia, USA								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				10	12			6366	6379		10.3390/ijerph10126366				DEC 2013	2013	Sensitive indicators of spatial and temporal variation in vector-host contact rates are critical to understanding the transmission and eventual prevention of arboviruses such as West Nile virus (WNV). Monitoring vector contact rates on particularly susceptible and perhaps more exposed avian nestlings may provide an advanced indication of local WNV amplification. To test this hypothesis we monitored WNV infection and vector contact rates among nestlings occupying nest boxes (primarily Eastern bluebirds; Sialia sialis, Turdidae) across Henrico County, Virginia, USA, from May to August 2012. Observed host-seeking rates were temporally variable and associated with absolute vector and host abundances. Despite substantial effort to monitor WNV among nestlings and mosquitoes, we did not detect the presence of WNV in these populations. Generally low vector-nestling host contact rates combined with the negative WNV infection data suggest that monitoring transmission parameters among nestling Eastern bluebirds in Henrico County, Virginia, USA may not be a sensitive indicator of WNV activity.																					WOS:000330219600010	24287858	
J	Ciota, Alexander T.; Kramer, Laura D.								Vector-Virus Interactions and Transmission Dynamics of West Nile Virus								VIRUSES-BASEL				5	12			3021	3047		10.3390/v5123021				DEC 2013	2013	West Nile virus (WNV; Flavivirus; Flaviviridae) is the cause of the most widespread arthropod-borne viral disease in the world and the largest outbreak of neuroinvasive disease ever observed. Mosquito-borne outbreaks are influenced by intrinsic (e.g., vector and viral genetics, vector and host competence, vector life-history traits) and extrinsic (e.g., temperature, rainfall, human land use) factors that affect virus activity and mosquito biology in complex ways. The concept of vectorial capacity integrates these factors to address interactions of the virus with the arthropod host, leading to a clearer understanding of their complex interrelationships, how they affect transmission of vector-borne disease, and how they impact human health. Vertebrate factors including host competence, population dynamics, and immune status also affect transmission dynamics. The complexity of these interactions are further exacerbated by the fact that not only can divergent hosts differentially alter the virus, but the virus also can affect both vertebrate and invertebrate hosts in ways that significantly alter patterns of virus transmission. This chapter concentrates on selected components of the virus-vector-vertebrate interrelationship, focusing specifically on how interactions between vector, virus, and environment shape the patterns and intensity of WNV transmission.																					WOS:000330523400007	24351794	
J	Ghai, Ria R.; Sibley, Samuel D.; Lauck, Michael; Dinis, Jorge M.; Bailey, Adam L.; Chapman, Colin A.; Omeja, Patrick; Friedrich, Thomas C.; O'Connor, David H.; Goldberg, Tony L.								Deep sequencing identifies two genotypes and high viral genetic diversity of human pegivirus (GB virus C) in rural Ugandan patients								JOURNAL OF GENERAL VIROLOGY				94				2670	2678		10.1099/vir.0.055509-0				DEC 2013	2013	Human pegivirus (HPgV), formerly 'GB virus C' or 'hepatitis G virus', is a member of the genus Flavivirus (Flaviviridae) that has garnered significant attention due to its inhibition of HIV, including slowing disease progression and prolonging survival in HIV-infected patients. Currently, there are six proposed HPgV genotypes that have roughly distinct geographical distributions. Genotypes 2 and 3 are the most comprehensively characterized, whereas those genotypes occurring on the African continent, where HPgV prevalence is highest, are less well studied. Using deep sequencing methods, we identified complete coding HPgV sequences in four of 28 patients (14.3%) in rural Uganda, east Africa. One of these sequences corresponds to genotype 1 and is the first complete genome of this genotype from east Africa. The remaining three sequences correspond to genotype 5, a genotype that was previously considered exclusively South African. All four positive samples were collected within a geographical area of less than 25 km(2), showing that multiple HPgV genotypes co-circulate in this area. Analysis of intra-host viral genetic diversity revealed that total single-nucleotide polymorphism frequency was approximately tenfold lower in HPgV than in hepatitis C virus. Finally, one patient was co-infected with HPgV and HIV, which, in combination with the high prevalence of HIV, suggests that this region would be a useful locale to study the interactions and co-evolution of these viruses.																					WOS:000328808000010	24077364	
J	Kulkarni, D. D.; Tosh, C.; Venkatesh, G.; Kumar, D. Senthil								Nipah virus infection: current scenario								INDIAN JOURNAL OF VIROLOGY				24	3	SI		398	408		10.1007/s13337-013-0171-y				DEC 2013	2013	The emergence of Nipah virus (NiV) infection into the pig population and subsequently into the human population is believed to be due to changes in ecological conditions. In Malaysia, A major NiV outbreak occurred in pigs and humans from September 1998 to April 1999 that resulted in infection of 265 and death of 105 persons. About 1.1 million pigs had to be destroyed to control the outbreak. The disease was recorded in the form of a major outbreak in India in 2001 and then a small incidence in 2007, both the outbreaks in West Bengal only in humans without any involvement of pigs. There were series of human Nipah incidences in Bangladesh from 2001 till 2013 almost every year with mortality exceeding 70 %. The disease transmission from pigs acting as an intermediate host during Malaysian and Singapore outbreaks has changed in NIV outbreaks in India and Bangladesh, transmitting the disease directly from bats to human followed by human to human. The drinking of raw date palm sap contaminated with fruit bat urine or saliva containing NiV is the only known cause of outbreak of the disease in Bangladesh outbreaks. The virus is now known to exist in various fruit bats of Pteropus as well as bats of other genera in a wider belt from Asia to Africa.																					WOS:000327127100016	24426305	
J	Liu, Shan; Li, Xing; Chen, Zhiyong; Chen, Yixiong; Zhang, Qionghua; Liao, Yuxue; Zhou, Jie; Ke, Xuemei; Ma, Lizhen; Xiao, Jianpeng; Wu, Yi; Chen, Zhong; Zhou, Junhua; Zheng, Xueyan; Li, Jiandong; Chen, Qing								Comparison of genomic and amino acid sequences of eight Japanese encephalitis virus isolates from bats								ARCHIVES OF VIROLOGY				158	12			2543	2552		10.1007/s00705-013-1777-5				DEC 2013	2013	We compared nucleotide and deduced amino acid sequences of eight Japanese encephalitis virus (JEV) isolates derived from bats in China. We also compared the bat JEV isolates with other JEV isolates available from GenBank to determine their genetic similarity. We found a high genetic homogeneity among the bat JEVs isolated in different geographical areas from various bat species at different time periods. All eight bat JEV isolates belonged to genotype III. The mean evolutionary rate of bat JEV isolates was lower than those of isolates of other origin, but this difference was not statistically significant. Based on these results, we presume that the bat JEV isolates might be evolutionarily conserved. The eight bat JEV isolates were phylogenetically similar to mosquito BN19 and human Liyujie isolates of JEV. These results indicate that bats might be involved in natural cycle of JEV.																					WOS:000327121600013	23836395	
J	Marka, Andriani; Diamantidis, Alexandros; Papa, Anna; Valiakos, George; Chaintoutis, Serafeim C.; Doukas, Dimitrios; Tserkezou, Persefoni; Giannakopoulos, Alexios; Papaspyropoulos, Konstantinos; Patsoula, Eleni; Badieritakis, Evangelos; Baka, Agoritsa; Tseroni, Maria; Pervanidou, Danai; Papadopoulos, Nikos T.; Koliopoulos, George; Tontis, Dimitrios; Dovas, Chrysostomos I.; Billinis, Charalambos; Tsakris, Athanassios; Kremastinou, Jenny; Hadjichristodoulou, Christos		MALWEST Project						West Nile Virus State of the Art Report of MALWEST Project								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				10	12			6534	6610		10.3390/ijerph10126534				DEC 2013	2013	During the last three years Greece is experiencing the emergence of West Nile virus (WNV) epidemics. Within this framework, an integrated surveillance and control programme (MALWEST project) with thirteen associate partners was launched aiming to investigate the disease and suggest appropriate interventions. One out of seven work packages of the project is dedicated to the State of the Art report for WNV. Three expert working groups on humans, animals and mosquitoes were established. Medical databases (PubMed, Scopus) were searched together with websites: e.g., WHO, CDC, ECDC. In total, 1,092 relevant articles were initially identified and 258 of them were finally included as references regarding the current knowledge about WNV, along with 36 additional sources (conference papers, reports, book chapters). The review is divided in three sections according to the fields of interest: (1) WNV in humans (epidemiology, molecular characteristics, transmission, diagnosis, treatment, prevention, surveillance); (2) WNV in animals (epidemiological and transmission characteristics concerning birds, horses, reptiles and other animal species) and (3) WNV in mosquitoes (control, surveillance). Finally, some examples of integrated surveillance programmes are presented. The introduction and establishment of the disease in Greece and other European countries further emphasizes the need for thorough research and broadening of our knowledge on this viral pathogen.																					WOS:000330219600020	24317379	
